Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(58756k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=104857600 -XX:MaxHeapSize=104857600 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
19.756: [GC (Allocation Failure) [PSYoungGen: 31936K->288K(32768K)] 68813K->37237K(101376K), 0.0042136 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
19.931: [GC (Allocation Failure) [PSYoungGen: 32032K->224K(32768K)] 68981K->37261K(101376K), 0.0031624 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
20.113: [GC (Allocation Failure) [PSYoungGen: 31961K->288K(32768K)] 68998K->37437K(101376K), 0.0035682 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
20.298: [GC (Allocation Failure) [PSYoungGen: 32032K->384K(32768K)] 69181K->37613K(101376K), 0.0044820 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
20.467: [GC (Allocation Failure) [PSYoungGen: 32125K->320K(32768K)] 69354K->37605K(101376K), 0.0027547 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
20.644: [GC (Allocation Failure) [PSYoungGen: 32064K->1024K(32768K)] 69349K->38517K(101376K), 0.0035088 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
20.823: [GC (Allocation Failure) [PSYoungGen: 32768K->384K(32768K)] 70261K->38477K(101376K), 0.0038049 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
20.985: [GC (Allocation Failure) [PSYoungGen: 32128K->128K(32768K)] 70221K->38318K(101376K), 0.0030240 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.167: [GC (Allocation Failure) [PSYoungGen: 31872K->224K(32768K)] 70062K->38454K(101376K), 0.0031665 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.444: [GC (Allocation Failure) [PSYoungGen: 31968K->256K(32768K)] 70198K->38526K(101376K), 0.0053338 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.661: [GC (Allocation Failure) [PSYoungGen: 32000K->320K(32768K)] 70270K->38630K(101376K), 0.0028979 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
21.876: [GC (Allocation Failure) [PSYoungGen: 32062K->320K(32768K)] 70372K->38630K(101376K), 0.0115013 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
22.389: [GC (Allocation Failure) [PSYoungGen: 32064K->672K(32768K)] 70374K->39078K(101376K), 0.0048239 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
22.603: [GC (Allocation Failure) [PSYoungGen: 32414K->224K(32768K)] 70820K->38654K(101376K), 0.0028873 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.780: [GC (Allocation Failure) [PSYoungGen: 31968K->256K(32768K)] 70398K->38726K(101376K), 0.0034078 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.949: [GC (Allocation Failure) [PSYoungGen: 32000K->288K(32768K)] 70470K->38822K(101376K), 0.0038724 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
23.185: [GC (Allocation Failure) [PSYoungGen: 32032K->288K(32768K)] 70566K->38974K(101376K), 0.0034692 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
23.516: [GC (Allocation Failure) [PSYoungGen: 32032K->192K(32768K)] 70718K->38966K(101376K), 0.0132680 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
23.829: [GC (Allocation Failure) [PSYoungGen: 31936K->320K(32768K)] 70710K->39134K(101376K), 0.0023889 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.981: [GC (Allocation Failure) [PSYoungGen: 32064K->160K(32768K)] 70878K->39062K(101376K), 0.0020166 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
24.148: [GC (Allocation Failure) [PSYoungGen: 31904K->192K(32768K)] 70806K->39190K(101376K), 0.0031722 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.373: [GC (Allocation Failure) [PSYoungGen: 31936K->384K(32768K)] 70934K->39486K(101376K), 0.0064771 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
24.521: [GC (Allocation Failure) [PSYoungGen: 32128K->224K(32768K)] 71230K->39614K(101376K), 0.0072114 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
24.647: [GC (Allocation Failure) [PSYoungGen: 31968K->512K(32768K)] 71358K->39998K(101376K), 0.0022883 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.787: [GC (Allocation Failure) [PSYoungGen: 32256K->224K(32768K)] 71742K->40111K(101376K), 0.0036109 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
24.941: [GC (Allocation Failure) [PSYoungGen: 31968K->608K(32768K)] 71855K->40551K(101376K), 0.0030470 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
25.072: [GC (Allocation Failure) [PSYoungGen: 32352K->160K(32768K)] 72295K->40159K(101376K), 0.0030724 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
25.231: [GC (Allocation Failure) [PSYoungGen: 31904K->128K(32768K)] 71903K->40167K(101376K), 0.0027558 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
25.479: [GC (Allocation Failure) [PSYoungGen: 31872K->160K(32768K)] 71911K->40239K(101376K), 0.0051627 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
25.618: [GC (Allocation Failure) [PSYoungGen: 31904K->128K(32768K)] 71983K->40247K(101376K), 0.0036003 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
25.746: [GC (Allocation Failure) [PSYoungGen: 31871K->128K(32768K)] 71990K->40279K(101376K), 0.0017466 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.856: [GC (Allocation Failure) [PSYoungGen: 31872K->256K(32768K)] 72023K->40463K(101376K), 0.0022035 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
25.994: [GC (Allocation Failure) [PSYoungGen: 32000K->256K(32768K)] 72207K->40623K(101376K), 0.0042000 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
26.179: [GC (Allocation Failure) [PSYoungGen: 32000K->256K(32768K)] 72367K->40799K(101376K), 0.0069522 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
26.307: [GC (Allocation Failure) [PSYoungGen: 32000K->256K(32768K)] 72543K->40871K(101376K), 0.0025731 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.422: [GC (Allocation Failure) [PSYoungGen: 32000K->256K(32768K)] 72615K->41047K(101376K), 0.0042617 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
26.524: [GC (Allocation Failure) [PSYoungGen: 32000K->224K(33280K)] 72791K->41192K(101888K), 0.0023259 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
26.630: [GC (Allocation Failure) [PSYoungGen: 32992K->352K(33280K)] 73960K->41352K(101888K), 0.0034413 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
26.739: [GC (Allocation Failure) [PSYoungGen: 33120K->128K(33280K)] 74120K->41368K(101888K), 0.0029554 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
26.843: [GC (Allocation Failure) [PSYoungGen: 32896K->128K(33280K)] 74136K->41424K(101888K), 0.0031754 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
26.943: [GC (Allocation Failure) [PSYoungGen: 32896K->160K(33280K)] 74192K->41488K(101888K), 0.0025866 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
27.055: [GC (Allocation Failure) [PSYoungGen: 32928K->352K(33280K)] 74256K->41776K(101888K), 0.0020472 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
27.154: [GC (Allocation Failure) [PSYoungGen: 33120K->512K(32256K)] 74544K->42609K(100864K), 0.0030230 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.264: [GC (Allocation Failure) [PSYoungGen: 32256K->288K(32768K)] 74353K->42441K(101376K), 0.0033305 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.342: [GC (Allocation Failure) [PSYoungGen: 32032K->288K(32768K)] 74185K->42513K(101376K), 0.0026082 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
27.413: [GC (Allocation Failure) [PSYoungGen: 32032K->224K(32768K)] 74257K->42505K(101376K), 0.0019934 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
27.481: [GC (Allocation Failure) [PSYoungGen: 31968K->192K(32768K)] 74249K->42553K(101376K), 0.0024413 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.554: [GC (Allocation Failure) [PSYoungGen: 31936K->576K(32768K)] 74297K->43041K(101376K), 0.0027015 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.622: [GC (Allocation Failure) [PSYoungGen: 32320K->320K(32768K)] 74785K->42889K(101376K), 0.0024726 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
27.689: [GC (Allocation Failure) [PSYoungGen: 32064K->64K(32768K)] 74633K->42657K(101376K), 0.0032253 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.754: [GC (Allocation Failure) [PSYoungGen: 31808K->96K(32768K)] 74401K->42713K(101376K), 0.0027446 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.821: [GC (Allocation Failure) [PSYoungGen: 31838K->96K(32768K)] 74455K->42737K(101376K), 0.0033871 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
27.886: [GC (Allocation Failure) [PSYoungGen: 31840K->128K(32768K)] 74481K->42785K(101376K), 0.0023866 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.953: [GC (Allocation Failure) [PSYoungGen: 31872K->128K(32768K)] 74529K->42817K(101376K), 0.0033352 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
28.076: [GC (Allocation Failure) [PSYoungGen: 31868K->160K(32768K)] 74558K->42873K(101376K), 0.0027270 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
28.150: [GC (Allocation Failure) [PSYoungGen: 31904K->96K(32768K)] 74617K->42841K(101376K), 0.0022581 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
28.230: [GC (Allocation Failure) [PSYoungGen: 31840K->128K(32768K)] 74585K->42897K(101376K), 0.0040538 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
