Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(406036k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=524288000 -XX:MaxHeapSize=524288000 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
24.437: [GC (Allocation Failure) 24.437: [DefNew: 136761K->154K(153600K), 0.0043331 secs] 167513K->30908K(494976K), 0.0044579 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
24.674: [GC (Allocation Failure) 24.674: [DefNew: 136730K->161K(153600K), 0.0031865 secs] 167484K->30924K(494976K), 0.0032746 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
24.908: [GC (Allocation Failure) 24.908: [DefNew: 136737K->136K(153600K), 0.0033127 secs] 167500K->30915K(494976K), 0.0034176 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
25.133: [GC (Allocation Failure) 25.134: [DefNew: 136712K->134K(153600K), 0.0031178 secs] 167491K->30916K(494976K), 0.0032134 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
25.381: [GC (Allocation Failure) 25.381: [DefNew: 136710K->139K(153600K), 0.0031038 secs] 167492K->30925K(494976K), 0.0032033 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
25.607: [GC (Allocation Failure) 25.608: [DefNew: 136715K->118K(153600K), 0.0029472 secs] 167501K->30907K(494976K), 0.0046389 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.851: [GC (Allocation Failure) 25.851: [DefNew: 136694K->122K(153600K), 0.0031086 secs] 167483K->30911K(494976K), 0.0032116 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
26.071: [GC (Allocation Failure) 26.071: [DefNew: 136698K->140K(153600K), 0.0035349 secs] 167487K->30928K(494976K), 0.0036554 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
26.304: [GC (Allocation Failure) 26.304: [DefNew: 136716K->129K(153600K), 0.0041223 secs] 167504K->30918K(494976K), 0.0042514 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.524: [GC (Allocation Failure) 26.524: [DefNew: 136705K->140K(153600K), 0.0042831 secs] 167494K->30929K(494976K), 0.0044182 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
26.745: [GC (Allocation Failure) 26.745: [DefNew: 136716K->137K(153600K), 0.0041063 secs] 167505K->30926K(494976K), 0.0042331 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
26.980: [GC (Allocation Failure) 26.980: [DefNew: 136713K->132K(153600K), 0.0030790 secs] 167502K->30922K(494976K), 0.0031808 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
27.209: [GC (Allocation Failure) 27.209: [DefNew: 136708K->124K(153600K), 0.0039373 secs] 167498K->30915K(494976K), 0.0040651 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
27.447: [GC (Allocation Failure) 27.447: [DefNew: 136700K->137K(153600K), 0.0041909 secs] 167491K->30927K(494976K), 0.0043221 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.672: [GC (Allocation Failure) 27.672: [DefNew: 136713K->136K(153600K), 0.0029898 secs] 167503K->30926K(494976K), 0.0030905 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
27.902: [GC (Allocation Failure) 27.902: [DefNew: 136712K->126K(153600K), 0.0043323 secs] 167502K->30917K(494976K), 0.0044653 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
28.130: [GC (Allocation Failure) 28.131: [DefNew: 136702K->124K(153600K), 0.0038834 secs] 167493K->30914K(494976K), 0.0039990 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
28.354: [GC (Allocation Failure) 28.354: [DefNew: 136700K->122K(153600K), 0.0030978 secs] 167490K->30913K(494976K), 0.0031960 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.576: [GC (Allocation Failure) 28.576: [DefNew: 136698K->135K(153600K), 0.0031884 secs] 167489K->30925K(494976K), 0.0033031 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
28.791: [GC (Allocation Failure) 28.791: [DefNew: 136711K->125K(153600K), 0.0040124 secs] 167501K->30915K(494976K), 0.0041378 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
29.030: [GC (Allocation Failure) 29.030: [DefNew: 136701K->137K(153600K), 0.0030677 secs] 167491K->30928K(494976K), 0.0031785 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
29.250: [GC (Allocation Failure) 29.250: [DefNew: 136713K->129K(153600K), 0.0029901 secs] 167504K->30920K(494976K), 0.0031104 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
29.483: [GC (Allocation Failure) 29.483: [DefNew: 136705K->128K(153600K), 0.0030288 secs] 167496K->30919K(494976K), 0.0031490 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
29.700: [GC (Allocation Failure) 29.700: [DefNew: 136704K->134K(153600K), 0.0030912 secs] 167495K->30925K(494976K), 0.0032172 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
29.917: [GC (Allocation Failure) 29.917: [DefNew: 136710K->136K(153600K), 0.0035191 secs] 167501K->30927K(494976K), 0.0036426 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
30.129: [GC (Allocation Failure) 30.129: [DefNew: 136712K->206K(153600K), 0.0036015 secs] 167503K->30997K(494976K), 0.0037044 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
30.331: [GC (Allocation Failure) 30.331: [DefNew: 136782K->130K(153600K), 0.0033522 secs] 167573K->30920K(494976K), 0.0034623 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
30.561: [GC (Allocation Failure) 30.561: [DefNew: 136706K->132K(153600K), 0.0033766 secs] 167496K->30923K(494976K), 0.0034999 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
30.778: [GC (Allocation Failure) 30.778: [DefNew: 136708K->141K(153600K), 0.0029803 secs] 167499K->30932K(494976K), 0.0031020 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
30.990: [GC (Allocation Failure) 30.990: [DefNew: 136717K->142K(153600K), 0.0030653 secs] 167508K->30933K(494976K), 0.0031520 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
31.200: [GC (Allocation Failure) 31.200: [DefNew: 136718K->140K(153600K), 0.0029263 secs] 167509K->30932K(494976K), 0.0030148 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
31.409: [GC (Allocation Failure) 31.410: [DefNew: 136716K->145K(153600K), 0.0040220 secs] 167508K->30937K(494976K), 0.0041463 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
31.616: [GC (Allocation Failure) 31.616: [DefNew: 136720K->127K(153600K), 0.0030113 secs] 167512K->30919K(494976K), 0.0031151 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.816: [GC (Allocation Failure) 31.816: [DefNew: 136703K->124K(153600K), 0.0029187 secs] 167495K->30916K(494976K), 0.0030011 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.024: [GC (Allocation Failure) 32.024: [DefNew: 136700K->142K(153600K), 0.0030918 secs] 167492K->30934K(494976K), 0.0031859 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
32.221: [GC (Allocation Failure) 32.221: [DefNew: 136718K->144K(153600K), 0.0029811 secs] 167510K->30936K(494976K), 0.0030688 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
32.430: [GC (Allocation Failure) 32.430: [DefNew: 136720K->138K(153600K), 0.0031109 secs] 167512K->30930K(494976K), 0.0031994 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
32.624: [GC (Allocation Failure) 32.624: [DefNew: 136714K->161K(153600K), 0.0031351 secs] 167506K->30954K(494976K), 0.0032312 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
32.813: [GC (Allocation Failure) 32.813: [DefNew: 136737K->131K(153600K), 0.0031232 secs] 167530K->30923K(494976K), 0.0032287 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
33.023: [GC (Allocation Failure) 33.023: [DefNew: 136707K->149K(153600K), 0.0032119 secs] 167499K->30942K(494976K), 0.0033233 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
33.223: [GC (Allocation Failure) 33.223: [DefNew: 136725K->136K(153600K), 0.0031189 secs] 167518K->30933K(494976K), 0.0032273 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
33.424: [GC (Allocation Failure) 33.424: [DefNew: 136712K->133K(153600K), 0.0034364 secs] 167509K->30933K(494976K), 0.0035461 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
33.615: [GC (Allocation Failure) 33.615: [DefNew: 136709K->141K(153600K), 0.0029769 secs] 167509K->30942K(494976K), 0.0030687 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
33.813: [GC (Allocation Failure) 33.813: [DefNew: 136717K->138K(153600K), 0.0030900 secs] 167518K->30939K(494976K), 0.0031931 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
34.014: [GC (Allocation Failure) 34.014: [DefNew: 136714K->143K(153600K), 0.0030166 secs] 167515K->30943K(494976K), 0.0031035 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
34.212: [GC (Allocation Failure) 34.212: [DefNew: 136719K->135K(153600K), 0.0033076 secs] 167519K->30936K(494976K), 0.0034142 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
34.406: [GC (Allocation Failure) 34.406: [DefNew: 136711K->123K(153600K), 0.0034732 secs] 167512K->30924K(494976K), 0.0035826 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
34.608: [GC (Allocation Failure) 34.608: [DefNew: 136693K->138K(153600K), 0.0030113 secs] 167494K->30938K(494976K), 0.0031204 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
34.805: [GC (Allocation Failure) 34.805: [DefNew: 136714K->142K(153600K), 0.0028252 secs] 167514K->30942K(494976K), 0.0029059 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.002: [GC (Allocation Failure) 35.002: [DefNew: 136718K->147K(153600K), 0.0029488 secs] 167518K->30947K(494976K), 0.0030475 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
35.201: [GC (Allocation Failure) 35.201: [DefNew: 136723K->133K(153600K), 0.0027982 secs] 167523K->30934K(494976K), 0.0028787 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
35.390: [GC (Allocation Failure) 35.390: [DefNew: 136709K->129K(153600K), 0.0029498 secs] 167510K->30930K(494976K), 0.0030690 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
35.585: [GC (Allocation Failure) 35.585: [DefNew: 136705K->141K(153600K), 0.0028305 secs] 167506K->30942K(494976K), 0.0029101 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.777: [GC (Allocation Failure) 35.777: [DefNew: 136717K->129K(153600K), 0.0028303 secs] 167518K->30932K(494976K), 0.0029219 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.986: [GC (Allocation Failure) 35.986: [DefNew: 136705K->137K(153600K), 0.0029031 secs] 167508K->30945K(494976K), 0.0030008 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
36.205: [GC (Allocation Failure) 36.205: [DefNew: 136713K->123K(153600K), 0.0038875 secs] 167521K->30931K(494976K), 0.0039998 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
36.420: [GC (Allocation Failure) 36.420: [DefNew: 136699K->124K(153600K), 0.0029102 secs] 167507K->30935K(494976K), 0.0029931 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
